Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Indiana Pacers,81,240.9,40.8,86.2,.473,9.0,24.4,.370,31.8,61.8,.514,15.1,19.3,.780,9.6,32.6,42.2,22.2,8.9,4.1,13.3,18.9,105.7
16,Portland Trail Blazers,81,240.9,39.3,87.0,.452,10.3,28.2,.366,29.0,58.8,.493,16.8,21.0,.801,10.2,35.2,45.5,19.5,7.0,5.1,13.6,19.5,105.7
17,Washington Wizards,80,242.2,40.0,85.5,.468,9.9,26.4,.374,30.2,59.1,.510,16.8,21.7,.774,9.9,33.0,42.9,25.2,7.9,4.4,14.6,21.2,106.7
18,New York Knicks,81,241.9,40.6,87.7,.463,8.2,23.3,.350,32.5,64.4,.504,15.0,19.1,.786,10.5,33.6,44.1,23.2,6.7,5.2,14.7,20.5,104.4
19,Phoenix Suns,81,240.3,38.3,87.2,.439,9.3,27.9,.332,29.1,59.3,.490,17.8,24.0,.740,10.3,33.8,44.1,21.1,7.0,4.5,15.7,22.1,103.7
20,Detroit Pistons,81,241.5,39.0,86.9,.449,10.8,28.9,.373,28.3,58.0,.487,14.8,19.9,.743,10.2,33.5,43.7,22.7,7.6,3.9,13.5,18.4,103.6
21,Orlando Magic,81,240.6,38.9,86.0,.452,10.3,29.3,.350,28.6,56.7,.505,15.4,20.4,.757,8.8,32.8,41.6,23.5,7.6,4.9,14.5,19.2,103.4
22,Miami Heat,81,242.8,38.7,85.1,.455,11.0,30.6,.360,27.7,54.5,.509,14.8,19.5,.756,9.2,34.1,43.3,22.7,7.6,5.3,14.4,20.1,103.3
23,Atlanta Hawks,81,240.3,38.1,85.4,.447,11.2,31.0,.361,27.0,54.4,.496,15.8,20.1,.786,9.1,32.9,41.9,23.7,7.8,4.3,15.6,19.5,103.2
24,Chicago Bulls,81,242.2,38.7,88.9,.436,11.0,31.1,.356,27.7,57.8,.479,14.6,19.2,.759,9.6,35.1,44.7,23.5,7.6,3.6,13.9,19.2,103.1
25,Utah Jazz,80,240.9,38.2,82.7,.462,10.8,29.6,.366,27.4,53.1,.516,16.8,21.6,.778,8.9,34.1,43.0,22.5,8.7,5.1,14.7,19.6,104.1
26,San Antonio Spurs,81,240.6,39.1,85.3,.458,8.5,24.1,.352,30.6,61.2,.500,16.1,20.9,.771,10.3,34.0,44.3,22.8,7.6,5.7,13.1,17.2,102.8
27,Boston Celtics,80,241.6,38.3,84.8,.451,11.5,30.4,.378,26.8,54.4,.492,15.9,20.7,.770,9.2,35.1,44.2,22.5,7.3,4.6,14.0,19.8,104.0
28,Dallas Mavericks,81,241.5,38.2,85.7,.445,11.8,32.8,.361,26.3,53.0,.497,14.2,18.6,.764,8.0,33.3,41.3,22.7,7.0,3.8,12.3,19.2,102.4
29,Memphis Grizzlies,81,240.3,36.7,82.7,.443,9.2,26.2,.351,27.5,56.5,.486,16.5,21.1,.784,9.5,31.0,40.5,21.5,7.5,4.9,15.0,23.2,99.0
30,Sacramento Kings,81,240.9,38.8,86.2,.450,9.0,24.0,.377,29.8,62.2,.478,12.3,16.7,.736,9.5,31.3,40.8,21.6,7.9,4.2,13.8,20.1,98.9
